timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681911605242,125,PodcastPage-1,200,OK,WebinarsAndPodcast 1-59,text,true,,13828,121,23,23,https://app.reorg.com:443/v3,124,0,0
1681911605178,202,PodcastPage,200,OK,WebinarsAndPodcast 1-49,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,81,0,0
1681911605178,81,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-49,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,81,0,0
1681911605259,121,PodcastPage-1,200,OK,WebinarsAndPodcast 1-49,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,121,0,0
1681911605220,200,PodcastPage,200,OK,WebinarsAndPodcast 1-60,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,80,0,0
1681911605220,80,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-60,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,80,0,0
1681911605300,120,PodcastPage-1,200,OK,WebinarsAndPodcast 1-60,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,119,0,0
1681911605214,208,PodcastPage,200,OK,WebinarsAndPodcast 1-64,text,true,,14164,238,24,24,https://app.reorg.com:443/v3,79,0,0
1681911605214,79,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-64,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,79,0,0
1681911605293,129,PodcastPage-1,200,OK,WebinarsAndPodcast 1-64,text,true,,13829,121,24,24,https://app.reorg.com:443/v3,129,0,0
1681911605209,219,PodcastPage,200,OK,WebinarsAndPodcast 1-62,text,true,,14170,238,24,24,https://app.reorg.com:443/v3,81,0,0
1681911604874,554,PodcastPage,200,OK,WebinarsAndPodcast 1-66,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,161,0,79
1681911605209,81,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-62,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,81,0,0
1681911604874,161,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-66,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,161,0,79
1681911605290,138,PodcastPage-1,200,OK,WebinarsAndPodcast 1-62,text,true,,13835,121,24,24,https://app.reorg.com:443/v3,137,0,0
1681911605036,392,PodcastPage-1,200,OK,WebinarsAndPodcast 1-66,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,392,0,262
1681911605230,206,PodcastPage,200,OK,WebinarsAndPodcast 1-52,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,81,0,0
1681911605230,81,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-52,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,81,0,0
1681911605311,125,PodcastPage-1,200,OK,WebinarsAndPodcast 1-52,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,125,0,0
1681911605237,205,PodcastPage,200,OK,WebinarsAndPodcast 1-58,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,83,0,0
1681911605237,83,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-58,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,83,0,0
1681911605320,122,PodcastPage-1,200,OK,WebinarsAndPodcast 1-58,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,122,0,0
1681911605216,229,PodcastPage,200,OK,WebinarsAndPodcast 1-53,text,true,,14163,238,24,24,https://app.reorg.com:443/v3,79,0,0
1681911605216,79,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-53,text,true,,335,117,24,24,http://app.reorg.com/v3#/webinars_podcasts,79,0,0
1681911605295,150,PodcastPage-1,200,OK,WebinarsAndPodcast 1-53,text,true,,13828,121,24,24,https://app.reorg.com:443/v3,150,0,0
1681911605278,209,PodcastPage,200,OK,WebinarsAndPodcast 1-56,text,true,,14170,238,25,25,https://app.reorg.com:443/v3,85,0,0
1681911605278,85,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-56,text,true,,335,117,25,25,http://app.reorg.com/v3#/webinars_podcasts,85,0,0
1681911605363,124,PodcastPage-1,200,OK,WebinarsAndPodcast 1-56,text,true,,13835,121,25,25,https://app.reorg.com:443/v3,122,0,0
1681911604974,534,PodcastPage,200,OK,WebinarsAndPodcast 1-67,text,true,,14163,238,25,25,https://app.reorg.com:443/v3,163,0,79
1681911604974,163,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-67,text,true,,335,117,25,25,http://app.reorg.com/v3#/webinars_podcasts,163,0,79
1681911605137,371,PodcastPage-1,200,OK,WebinarsAndPodcast 1-67,text,true,,13828,121,25,25,https://app.reorg.com:443/v3,371,0,245
1681911605305,204,PodcastPage,200,OK,WebinarsAndPodcast 1-63,text,true,,14156,238,25,25,https://app.reorg.com:443/v3,79,0,0
1681911605305,79,PodcastPage-0,301,Moved Permanently,WebinarsAndPodcast 1-63,text,true,,335,117,25,25,http://app.reorg.com/v3#/webinars_podcasts,79,0,0
